Ürün Adı,İlk Dönem,Son Dönem,İlk Skor,Son Skor,Değişim,Mutlak_Değişim
TRENDYOLMİLLA Kahverengi Dik Yaka Fitted/Vücuda Oturan Maxi Esnek Örme Kalem Elbise TWOAW24EL00614,2023-09,2025-03,0.902439,0.764706,-0.137733,0.137733
TRENDYOLMİLLA Haki A-Kesim Mini Pamuklu Pencere/Cut Out Detaylı Detaylı Kare Yaka Dokuma Elbise TWOSS23EL00596,2023-04,2024-10,0.954545,0.818182,-0.136364,0.136364
TRENDYOLMİLLA Kırmızı Kare Yaka Mini Dokuma Elbise TWOAW23EL00894,2022-09,2025-01,0.863636,0.727273,-0.136364,0.136364
TRENDYOLMİLLA Saks Vücuda Oturan Dokuma Elbise TPRSS24EL00136,2024-05,2025-03,0.714286,0.85,0.135714,0.135714
Trendyol Curve Fuşya V Yaka Volanlı Örme Büyük Beden Elbise TBBSS23AH00030,2023-04,2025-03,0.904762,0.769231,-0.135531,0.135531
Trendyol Curve Siyah A-Line Dokuma Cep Detaylı Elbise TBBSS22EL1598,2022-03,2025-03,0.794118,0.928571,0.134454,0.134454
TRENDYOLMİLLA Mavi Kuşaklı Çizgili Mini Dokuma Gömlek Elbise TWOAW25EL00154,2024-07,2025-03,0.685714,0.818182,0.132468,0.132468
Trendyol Curve Çok Renkli Çiçek Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154,2024-04,2025-03,0.983607,0.851852,-0.131755,0.131755
TRENDYOLMİLLA Siyah Ekose / Kareli V Yaka Mini Dokuma Jile Elbise TWOAW21EL0319,2022-03,2025-03,0.62963,0.5,-0.12963,0.12963
TRENDYOLMİLLA Siyah Vücuda Oturan Vatkalı Düğme Detaylı Mini Dokuma Elbise TWOAW24EL00483,2023-09,2025-02,0.914894,0.785714,-0.129179,0.129179
Trendyol Curve Indigo Kuşaklı Dokuma Elbise TBBSS22EL1670,2022-03,2025-02,0.780488,0.909091,0.128603,0.128603
TRENDYOLMİLLA Siyah Çiçekli Şifon Astarlı Dokuma Kışlık Elbise TWOAW23EL01436,2023-09,2025-01,0.928571,0.8,-0.128571,0.128571
TRENDYOLMİLLA Siyah Puantiyeli Vücuda Oturan Astarlı Drapeli Örme Tül Kısa Şık Abiye Elbise TPRAW24EL00028,2023-08,2025-03,0.714286,0.842105,0.12782,0.12782
TRENDYOLMİLLA Antrasit Maxi Triko V Yaka Jile Elbise TWOAW24EL00011,2023-08,2025-03,0.807692,0.935484,0.127792,0.127792
TRENDYOLMİLLA Siyah Scuba/Dalgıç 2 Katmanlı İçi Şortlu Tenis Örme Spor Elbise THMSS23EL00006,2023-03,2025-02,0.777778,0.65,-0.127778,0.127778
Trendyol Curve Siyah Finike Dokuma Büyük Beden Elbise,2024-02,2025-03,1.0,0.873418,-0.126582,0.126582
TRENDYOLMİLLA Siyah Parıltılı Örme Şık Abiye Elbise TPRSS24EL00037,2024-03,2025-03,0.875,1.0,0.125,0.125
TRENDYOLMİLLA Siyah Vücuda Oturan Drapeli Örme Kısa Elbise TPRSS24EL00162,2024-03,2025-02,0.6875,0.8125,0.125,0.125
TRENDYOLMİLLA Zümrüt Yeşili Midi Triko Bisiklet Yaka Elbise TWOAW21EL0422,2023-08,2025-03,1.0,0.875,-0.125,0.125
TRENDYOLMİLLA Siyah Dik Yaka Dokuma Elbise TCLAW19LJ0076,2022-03,2025-01,0.875,1.0,0.125,0.125
TRENDYOLMİLLA Siyah Vücuda Oturan Otrişli Parlak Taşlı Dokuma Kısa Şık Abiye Elbise TPRSS23EL00255,2023-05,2025-03,0.831325,0.707317,-0.124008,0.124008
TRENDYOLMİLLA Kırmızı Çiçekli Viskon Maxi Dokuma Elbise TWOSS24EL00613,2024-03,2025-02,0.941176,0.818182,-0.122995,0.122995
TRENDYOLMİLLA Bridal Ekru Vücuda Oturan Astarlı Dokuma Düğün/Nikah Şık Abiye Elbise TPRSS23EL00541,2023-04,2025-03,0.818182,0.941176,0.122995,0.122995
TRENDYOLMİLLA Beyaz Belden Açılan Midi Astarlı Brode Dokuma Elbise TWOSS23EL00156,2023-04,2024-11,0.794118,0.916667,0.122549,0.122549
TRENDYOLMİLLA Siyah Astarlı Dokuma Saten Şık Abiye Elbise TPRSS19BB0058,2022-04,2025-03,0.721311,0.842105,0.120794,0.120794
TRENDYOLMİLLA Siyah Baskılı Fitted/Vücuda Oturan Tek Omuz Asimetrik Büzgü Detaylı Örme Kalem Elbise TWOSS23EL02182,2023-06,2024-11,0.983333,0.862745,-0.120588,0.120588
TRENDYOLMİLLA Çok Renkli A-Kesim Gül Detaylı Dokuma Elbise TPRSS24EL00098,2024-04,2024-12,0.62963,0.75,0.12037,0.12037
TRENDYOLMİLLA Siyah Drapeli V Yaka Fitted/Vücuda Oturan Esnek Midi Örme Kalem Elbise TWOAW24EL00197,2023-08,2025-01,0.92,0.8,-0.12,0.12
TRENDYOLMİLLA Pembe Çiçek Desenli Belden Açılan Mini Dokuma Elbise TWOSS23EL02008,2023-04,2024-10,0.814815,0.933333,0.118519,0.118519
TRENDYOLMİLLA Antrasit Mini Triko A-Line Formda Elbise TWOAW25EL00030,2024-09,2025-03,0.873016,0.754717,-0.118299,0.118299
TRENDYOLMİLLA Siyah Kuşaklı Mini Dokuma Ceket Dokuma Elbise TWOSS20EL0236,2022-03,2024-12,0.886364,0.769231,-0.117133,0.117133
TRENDYOLMİLLA Siyah Asimetrik Yaka Bodycone/Vücuda Oturan Mini Örme Elbise TWOAW25EL00595,2024-10,2025-03,0.916667,0.8,-0.116667,0.116667
Trendyol Curve Antrasit Belden Açılan/Skater V Yaka Denim Elbise TBBSS23AH00078,2023-03,2024-12,0.866667,0.75,-0.116667,0.116667
TRENDYOLMİLLA Turuncu Vücuda Oturan Cut Out/Pencere Detaylı Örme Kısa Şık Elbise TPRSS23EL00154,2023-03,2025-03,0.928571,0.8125,-0.116071,0.116071
TRENDYOLMİLLA Pudra Çiçek Desenli Kruvaze Fırfır Detaylı Askılı Midi Şifon Astarlı Dokuma Elbise TWOSS19EL0375,2022-05,2024-08,0.865979,0.75,-0.115979,0.115979
TRENDYOLMİLLA Yeşil Vücudu Saran Kuşgözü Detaylı Yırtmaçlı Kare Yaka Midi Kalem Etek Dokuma Elbise TWOSS19EL0079,2022-03,2025-01,0.884615,1.0,0.115385,0.115385
TRENDYOLMİLLA Siyah Fitilli Kare Yaka Vücuda Oturan Uzun Kol Yırtmaçlı Midi Elbise TWOAW22EL0871,2022-04,2025-03,0.933333,0.818182,-0.115152,0.115152
Trendyol Curve Siyah Polo Yaka Fitilli Triko Elbise TBBAW23AH00002,2022-10,2025-03,0.972222,0.857143,-0.115079,0.115079
TRENDYOLMİLLA Siyah Düz Kesim Kolsuz Bisiklet Yaka Mini Dokuma Elbise TWOSS19FG0063,2022-03,2024-10,0.833333,0.71875,-0.114583,0.114583
TRENDYOLMİLLA Yağ Yeşil Vücuda Oturan Astarlı Korse Detaylı Örme Kısa Abiye Gece Elbise TPRSS23EL00174,2023-03,2025-03,0.923077,0.809524,-0.113553,0.113553
TRENDYOLMİLLA Siyah A Kesim Ceket Yaka Mini Dokuma Elbise TWOAW23EL00384,2022-08,2025-03,0.875,0.761905,-0.113095,0.113095
Trendyol Curve Mint Kemerli Dokuma Gömlek Elbise TBBSS23AH00277,2023-07,2025-02,0.8125,0.7,-0.1125,0.1125
TRENDYOLMİLLA Ekru Mini Dokuma Ekose Desenli Jile Elbise TWOAW20EL0208,2022-03,2025-03,1.0,0.888889,-0.111111,0.111111
TRENDYOLMİLLA Siyah V Yaka Dokuma Elbise TWOAW22EL0682,2022-03,2024-10,0.888889,1.0,0.111111,0.111111
TRENDYOLMİLLA Çok Renkli Çiçekli Dik Yaka Vatkalı Bodycone/Vücuda Oturan Örme Maxi Kalem Elbise TWOSS24EL00841,2024-03,2024-12,0.8125,0.923077,0.110577,0.110577
TRENDYOLMİLLA Zümrüt Yeşili Vücuda Oturan Kolsuz Drape Detaylı Kemerli Midi Esnek Örme Kalem Elbise TWOSS22EL0756,2023-01,2025-03,0.933333,0.823529,-0.109804,0.109804
TRENDYOLMİLLA Kırmızı Ayarlanabilir Askılı Kare Yaka A-Line Bürümcük/Dokulu Örme Maxi Elbise TWOSS24EL00060,2024-05,2025-02,0.807692,0.916667,0.108974,0.108974
Trendyol Curve Siyah Kemerli Dokuma Kruvaze Yaka Elbise TBBSS23AH00206,2023-04,2025-03,0.703704,0.8125,0.108796,0.108796
TRENDYOLMİLLA Beyaz Düz Dokulu A Kesim/Çan Form Bisiklet Yaka Dokulu Maxi Elbise TWOSS24EL00683,2024-03,2025-01,0.733333,0.83871,0.105376,0.105376
TRENDYOLMİLLA Siyah Düz Esnek Örme Elbise TWOSS24EL00412,2024-03,2024-12,1.0,0.894737,-0.105263,0.105263
TRENDYOLMİLLA Siyah V Yaka Düğme Detaylı Dokuma Midi Gömlek Elbise TWOSS23EL02158,2023-04,2025-03,0.894737,1.0,0.105263,0.105263
TRENDYOLMİLLA Çok Renkli Çiçekli Eteği Volanlı Skater/Belden Açılan Şifon Mini Astarlı Dokuma Elbise TWOSS22EL2772,2022-05,2025-01,0.911765,0.807692,-0.104072,0.104072
TRENDYOLMİLLA Mavi Cep Detaylı Mini Denim Gömlek Elbise TWOAW23EL00643,2022-09,2025-03,1.0,0.896552,-0.103448,0.103448
TRENDYOLMİLLA Mor Askılı Fitted/Vücuda Oturan Kare Yaka Tül Midi Esnek Örme Kalem Elbise TWOSS22EL00726,2022-04,2025-03,0.866667,0.969697,0.10303,0.10303
TRENDYOLMİLLA Pembe Düz Bodycone Straplez Detaylı Finike Mini Dokuma Gömlek Elbise TWOSS24EL00751,2024-03,2025-03,0.794872,0.692308,-0.102564,0.102564
TRENDYOLMİLLA Siyah Vücuda Oturan Kemerli Cep Detaylı Mini Elbise TWOSS23EL02037,2023-04,2024-11,0.831461,0.933333,0.101873,0.101873
TRENDYOLMİLLA Bordo Dik Yaka Dokuma Elbise TCLAW19LJ0076,2022-09,2025-02,0.869565,0.769231,-0.100334,0.100334
TRENDYOLMİLLA Siyah Kruvaze Pilise Detaylı Mini Dokuma Elbise TWOSS24EL00793,2024-05,2025-02,0.8,0.7,-0.1,0.1
TRENDYOLMİLLA Siyah Maxi Dokuma Sırt Dekolteli Keten Karışımlı Plaj Elbisesi TBESS24EL00096,2024-05,2025-03,1.0,0.9,-0.1,0.1
TRENDYOLMİLLA Kahverengi Askılı Dokuma Elbise TWOAW20EL0208,2022-03,2025-02,0.8,0.7,-0.1,0.1
TRENDYOLMİLLA Siyah Jile Skater/Belden Açılan Örme Elbise TWOAW24EL00245,2023-08,2025-03,0.782609,0.882353,0.099744,0.099744
Trendyol Curve Kırmızı Puantiye Desenli Dokuma Elbise TBBSS22EL1712,2022-04,2025-02,0.888889,0.789474,-0.099415,0.099415
Trendyol Curve Siyah Puantiyeli Dokuma Gömlek Elbise TBBSS23AH00107,2023-03,2025-03,0.965517,0.866667,-0.098851,0.098851
TRENDYOLMİLLA Ekru Çiçek Desenli A-Kesim Fırfır Detaylı Astarlı Şifon Maxi Dokuma Elbise TWOSS23EL02013,2023-04,2025-03,0.911111,0.8125,-0.098611,0.098611
TRENDYOLMİLLA Siyah Bağlama Detaylı Bisiklet Yaka Triko Görünümlü Mini Örme Elbise TWOSS22EL0751,2022-03,2024-09,0.95,0.851852,-0.098148,0.098148
TRENDYOLMİLLA Ekru Maxi Dokuma Sırt Dekolteli Keten Karışımlı Plaj Elbisesi TBESS24EL00096,2024-05,2025-03,0.902439,1.0,0.097561,0.097561
TRENDYOLMİLLA Gri Vücuda Oturan Astarlı Parıltılı Örme Payet Kısa Şık Abiye Elbise TPRSS22EL2889,2022-12,2024-12,0.769231,0.866667,0.097436,0.097436
TRENDYOLMİLLA Siyah Kemerli A Kesim Astarlı Midi Dokuma Elbise TWOSS20EL0983,2022-04,2025-03,0.875,0.777778,-0.097222,0.097222
TRENDYOLMİLLA Siyah Piliseli Mini Dokuma Ceket Elbise TWOAW24EL00295,2023-09,2025-03,0.741935,0.645161,-0.096774,0.096774
Trendyol Curve Çok Renkli Çiçek Desenli Dokuma Fırfır Detaylı Elbise TBBSS22EL1600,2022-05,2024-11,0.896552,0.8,-0.096552,0.096552
TRENDYOLMİLLA Bridal Ekru A-Kesim Astarlı Korse Detaylı Biyeli Dokuma Kısa Abiye Gece Elbise TPRSS23EL00251,2023-04,2025-03,0.722222,0.818182,0.09596,0.09596
TRENDYOLMİLLA Siyah Vücuda Oturan Degaje Yaka Midi Askılı Esnek Örme Midi Kalem Elbise TWOSS19AD0020,2022-03,2025-02,0.904762,1.0,0.095238,0.095238
TRENDYOLMİLLA Kırmızı Vücuda Oturan Çiçekli Örme Kısa Şık Abiye Elbise TPRSS24EL00112,2024-03,2025-01,1.0,0.904762,-0.095238,0.095238
TRENDYOLMİLLA Fuşya Vücuda Oturan Drapeli Dokuma Kısa Şık Abiye Elbise TPRAW24EL00083,2023-09,2025-03,0.809524,0.714286,-0.095238,0.095238
TRENDYOLMİLLA Ekru Çiçek Desenli A Kesim Kat Kat Mini Astarlı Şifon Dokuma Elbise TWOSS23EL02056,2024-04,2025-03,0.857143,0.952381,0.095238,0.095238
TRENDYOLMİLLA Çok Renkli Boyundan Bağlamalı Dokuma Kışlık Elbise TWOAW21EL1448,2022-03,2025-03,1.0,0.90625,-0.09375,0.09375
TRENDYOLMİLLA Çok Renkli Desenli A-Kesim Askılı Midi Astarlı Dokuma Elbise TWOSS23EL00989,2023-04,2025-03,0.857143,0.764706,-0.092437,0.092437
Edit by Trendyol Siyah Vücuda Oturan Asimetrik Yaka Örme Kısa Elbise TEDAW25EL00006,2024-08,2025-03,0.692308,0.6,-0.092308,0.092308
TRENDYOLMİLLA Mavi Kuşaklı A Kesim Çizgili Mini Dokuma Elbise TWOSS21EL1290,2022-04,2024-07,0.955556,0.863636,-0.091919,0.091919
TRENDYOLMİLLA Siyah Kuşaklı A-Kesim Astarlı Piliseli Örme Kısa Şık Abiye Elbise TPRAW24EL00108,2023-09,2025-02,0.851852,0.76,-0.091852,0.091852
TRENDYOLMİLLA Pembe Çiçek Desenli Belden Açılan Mini Astarlı Şifon Dokuma Elbise TWOSS23EL01445,2023-04,2024-11,0.909091,1.0,0.090909,0.090909
TRENDYOLMİLLA Siyah Kuşaklı Mini Dokuma Gömlek Elbise TWOAW25EL00154,2024-08,2025-03,0.619048,0.709677,0.09063,0.09063
TRENDYOLMİLLA Lacivert Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970,2022-07,2024-09,0.9,0.809524,-0.090476,0.090476
TRENDYOLMİLLA Siyah Vücuda Oturan Dik Yaka Midi Kalem Etek Dokuma Elbise TWOAW20EL0311,2022-04,2025-03,0.956522,0.866667,-0.089855,0.089855
Trendyol Curve Siyah Dokuma Kolları Volanlı Elbise TBBSS22EL1626,2022-04,2025-03,0.910714,1.0,0.089286,0.089286
TRENDYOLMİLLA Siyah Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097,2024-09,2025-02,0.973684,0.884615,-0.089069,0.089069
Trendyol Curve Siyah Puantiyeli Kuşaklı Dokuma Elbise TBBSS22EL1596,2022-03,2025-02,0.970588,0.882353,-0.088235,0.088235
TRENDYOLMİLLA Siyah %100 Pamuk Bele Oturan Yırtmaç ve Bağlama Detaylı Midi Örme Kalem Elbise TWOSS21EL0404,2022-03,2024-12,0.95,0.862069,-0.087931,0.087931
TRENDYOLMİLLA Beyaz Astarlı Pencere/Cut Out Detaylı Puantiyeli Örme Tül Kısa Abiye Gece Elbise TPRSS19FZ0120,2022-03,2025-02,0.944444,0.857143,-0.087302,0.087302
TRENDYOLMİLLA Lacivert Shift/Düz Havuz Yaka Midi Triko Görünümlü Esnek Örme Elbise TWOSS22EL2964,2022-04,2025-03,0.911765,0.825,-0.086765,0.086765
TRENDYOLMİLLA Beyaz Düz Bodycone Krep Mini Dokuma Elbise TWOSS24EL00874,2024-04,2025-03,0.813559,0.9,0.086441,0.086441
Trendyol Curve Siyah Yumoş Hırka-Elbise Örme 2'li Takım Büyük Beden Elbise TBBAW23AH00004,2022-10,2025-03,0.886364,0.8,-0.086364,0.086364
TRENDYOLMİLLA Gül Kurusu A-Kesim Astarlı Volanlı Dokuma Şifon Kısa Şık Abiye Elbise TPRSS23EL00096,2024-02,2025-03,0.822581,0.736842,-0.085739,0.085739
TRENDYOLMİLLA Siyah Vücuda Oturan Düğme Detaylı Yırtmaçlı Midi Kalem Etek Dokuma Elbise TWOSS23EL02256,2023-04,2025-03,0.942857,0.857143,-0.085714,0.085714
Trendyol Curve Siyah Düz Kesim Bağlama Detaylı Yırtmaçlı Maxi/Uzun %100 Pamuk Örme Büyük Beden Elbise TBBSS22EL1640,2022-03,2024-06,0.909091,0.823529,-0.085561,0.085561
TRENDYOLMİLLA Yağ Yeşil Vücuda Oturan Gül Detaylı Örme Kısa Şık Abiye Elbise TPRSS24EL00095,2024-03,2025-01,0.611111,0.695652,0.084541,0.084541
TRENDYOLMİLLA Siyah Fitted Vücuda Oturan Kayık Yaka Sıfır Kol Esnek Örme Örme Midi Kalem Elbise TWOSS24EL00662,2024-03,2025-02,0.956522,0.872093,-0.084429,0.084429
TRENDYOLMİLLA Bridal Beyaz Vücuda Oturan Çiçekli Örme Kısa Düğün/Nikah Şık Abiye Elbise TPRSS24EL00112,2024-03,2025-03,0.896552,0.8125,-0.084052,0.084052
TRENDYOLMİLLA Kırmızı Vücuda Oturan Korse Detaylı Dokuma Şık Abiye Elbise TPRSS22EL00097,2022-10,2025-01,0.857143,0.941176,0.084034,0.084034
TRENDYOLMİLLA Haki Bağlama Detaylı Dokuma Elbise TWOAW20EL1156,2022-03,2025-03,0.925926,0.842105,-0.083821,0.083821
TRENDYOLMİLLA Lacivert Mini Triko Gömlek Garni Detaylı Elbise TWOAW22SV0122,2022-03,2025-01,1.0,0.916667,-0.083333,0.083333
TRENDYOLMİLLA Turuncu Etnik Desenli Belden Açılan Şifon Astarlı Mini Dokuma Elbise TWOSS23EL00519,2023-01,2025-03,1.0,0.916667,-0.083333,0.083333
TRENDYOLMİLLA Siyah A-Kesim Astarlı Dokuma Şifon Kısa Abiye Gece Elbise TPRSS23EL00033,2023-03,2025-03,0.916667,1.0,0.083333,0.083333
TRENDYOLMİLLA Saks Vücuda Oturan Astarlı Parıltılı Örme Kısa Şık Abiye Elbise TPRSS21EL2596,2022-03,2025-03,0.833333,0.916667,0.083333,0.083333
Trendyol Curve Siyah Kruvaze Bağlamalı Triko Elbise TBBAW23AH00014,2022-09,2025-03,0.75,0.833333,0.083333,0.083333
TRENDYOLMİLLA Siyah Kruvaze Yaka Cut Out/Pencere Detaylı Örme Şık Abiye Elbise TPRAW23EL00272,2022-09,2025-01,0.95,0.868421,-0.081579,0.081579
Trendyol Curve Siyah Kuşaklı A-line Örme Elbise TBBSS22AH0176,2022-03,2025-02,0.846154,0.764706,-0.081448,0.081448
TRENDYOLMİLLA Pembe Kemer Detaylı Triko Midi Elbise TWOSS22EL1031,2022-04,2025-03,0.97619,0.895349,-0.080842,0.080842
TRENDYOLMİLLA X Zeynep Tosun Saks Güneş Aksesuar Detaylı Cut Out Elbise TCLSS23EL00025,2023-05,2024-10,0.92,1.0,0.08,0.08
TRENDYOLMİLLA Kahverengi Vücuda Oturan Degaje Yaka Midi Esnek Örme Kalem Elbise TWOSS19AD0020,2022-04,2025-03,0.897959,0.818182,-0.079777,0.079777
TRENDYOLMİLLA Siyah Fitted/Vücuda Oturan Büzgü Detaylı Midi Esnek Örme Kalem Elbise TWOSS23EL00751,2023-03,2025-03,0.964286,0.884615,-0.07967,0.07967
TRENDYOLMİLLA Zümrüt Yeşili Çiçek Baskılı Mini Selanik Dik Yaka Örme Elbise TWOAW25EL00282,2024-11,2025-03,0.921053,1.0,0.078947,0.078947
TRENDYOLMİLLA Koyu Gri Volanlı Kare Yaka Fitted/Vücuda Oturan Maxi Esnek Örme Elbise TWOAW24EL00613,2023-09,2025-02,0.878788,0.8,-0.078788,0.078788
TRENDYOLMİLLA Turuncu Çiçek Desenli Düz Kesim Halter Yaka Midi Saten Astarlı Dokuma Elbise TWOSS23EL02417,2023-05,2024-07,0.828571,0.75,-0.078571,0.078571
TRENDYOLMİLLA Yeşil Çiçekli Baskılı Parlak Yüzeyli Kayık Kaya Vücuda Oturan Esnek Örme Kalem Elbise TWOSS24EL00528,2024-03,2025-03,0.79661,0.875,0.07839,0.07839
Trendyol Curve Siyah Düz Kruvaze Dokuma Elbise TBBSS23AH00254,2023-05,2024-12,0.924528,0.846154,-0.078374,0.078374
Trendyol Curve Siyah Çizgi Detaylı Triko Elbise TBBAW24AH00019,2023-09,2025-02,0.914286,0.837209,-0.077076,0.077076
Trendyol Curve Floral Desenli Kemerli Mini Dokuma Elbise TBBSS22EL00039,2022-04,2025-03,0.923077,0.846154,-0.076923,0.076923
TRENDYOLMİLLA Siyah Yumuşak Kumaşlı Fitted/Vücuda Oturan Kısa Kollu Esnek Örme Mini Kalem Elbise TWOSS24EL00756,2024-03,2025-03,0.923077,1.0,0.076923,0.076923
TRENDYOLMİLLA Taş Maxi Triko Saç Örgülü Geniş Kalıp Elbise TWOAW25EL00078,2024-08,2025-03,0.777778,0.854545,0.076768,0.076768
TRENDYOLMİLLA Fuşya Belden Açılan Pileli Midi Dokuma Elbise TWOSS20EL0980,2022-03,2024-11,0.933333,0.857143,-0.07619,0.07619
TRENDYOLMİLLA X Zeynep Tosun Ekru Volanlı Parlak Taşlı Bridal Elbise TCLSS23EL00014,2023-05,2025-01,0.833333,0.909091,0.075758,0.075758
TRENDYOLMİLLA Ekru Tüvit Dokuma Elbise TWOAW23EL00701,2022-11,2025-03,0.763158,0.6875,-0.075658,0.075658
TRENDYOLMİLLA Sarı Çiçek Desenli A-Kesim Kat Kat Mini Astarlı Şifon Dokuma Elbise TWOSS23EL02056,2023-05,2024-11,0.943662,0.868421,-0.075241,0.075241
Trendyol Curve Mor Kare Yaka Balon Kollu Dokuma Yırtmaçlı Astarlı Şifon Elbise TBBSS22AH0012,2023-02,2025-03,0.916667,0.842105,-0.074561,0.074561
TRENDYOLMİLLA Siyah Fitilli Derin Yırtmaç Detaylı Fitted/Vücuda Oturan Midi Esnek Örme Elbise TWOAW24EL00174,2023-08,2025-03,0.9375,0.863636,-0.073864,0.073864
TRENDYOLMİLLA Siyah Ayarlanabilir Askılı A-Line Bürümcük/Dokulu Örme Maxi Elbise TWOSS24EL00060,2024-05,2025-01,0.869565,0.943396,0.073831,0.073831
TRENDYOLMİLLA Siyah Kemerli Midi Dokuma Gömlek Elbise TWOAW21EL1428,2022-03,2024-12,0.85,0.923077,0.073077,0.073077
TRENDYOLMİLLA Lacivert Kemerli A Kesim Piliseli Maxi Astarlı Şifon Dokuma Elbise TWOAW24EL00471,2024-03,2025-03,0.727273,0.8,0.072727,0.072727
Trendyol Curve Mavi A-line Kruvaze Yaka Çiçek Desenli Yazlık Örme Elbise TBBSS22AH00000,2022-04,2024-12,0.966667,0.894737,-0.07193,0.07193
