Ürün Adı,Adet,min_date,max_date,date_diff,olumlu_sayi,olumsuz_sayi
TRENDYOLMİLLA Siyah Drapeli V Yaka Fitted/Vücuda Oturan Esnek Midi Örme Kalem Elbise TWOAW24EL00197,164,2023-08-16,2025-01-22,525,142,22
TRENDYOLMİLLA Siyah Eteği Volanlı Kayık Kaya Maxi Esnek Örme Elbise TWOAW24EL00616,163,2023-09-28,2024-11-27,426,155,8
TRENDYOLMİLLA Lacivert Mini Triko Dantelli Elbise TWOAW22EL0011,163,2022-07-05,2025-01-17,927,150,13
TRENDYOLMİLLA Siyah Kemerli Mini Dokuma Ceket Elbise TWOAW22EL0243,163,2022-03-14,2025-01-25,1048,129,34
TRENDYOLMİLLA X Sagaza Studio Ekru Bel Lastik Detaylı Brode Elbise TPRSS22EL00083,162,2022-06-06,2025-02-25,995,137,25
TRENDYOLMİLLA Siyah Dokuma Püsküllü Cut Out/Pencere Maxi Plaj Elbisesi TBESS21EL3624,162,2022-03-19,2025-03-09,1086,137,25
TRENDYOLMİLLA Kahverengi Dik Yaka Fitted/Vücuda Oturan Maxi Esnek Örme Kalem Elbise TWOAW24EL00614,162,2023-09-28,2025-03-10,529,141,21
TRENDYOLMİLLA Siyah Taş Baskılı Straplez Dokuma Kısa Şık Abiye Elbise TPRSS23EL00577,162,2023-06-02,2025-01-02,580,134,28
TRENDYOLMİLLA Ekru Mini Dokuma Ekose Desenli Jile Elbise TWOAW20EL0208,162,2022-03-14,2025-03-02,1084,138,24
TRENDYOLMİLLA Siyah Fitilli Derin Yırtmaç Detaylı Fitted/Vücuda Oturan Midi Esnek Örme Elbise TWOAW24EL00174,162,2023-08-26,2025-03-11,563,141,21
TRENDYOLMİLLA Mavi Mini Astarlı Dik Yaka Dokuma Elbise TCLAW19LJ0076,161,2022-09-20,2025-03-07,899,147,14
TRENDYOLMİLLA Siyah V Yaka Dokuma Elbise TWOAW22EL0682,161,2022-03-12,2024-10-30,963,147,14
TRENDYOLMİLLA Bridal Ekru Vücuda Oturan Dokulu Astarlı Dokuma Kısa Düğün/Nikah Şık Abiye Elbise TPRSS23EL00024,161,2023-04-02,2024-11-22,600,135,26
TRENDYOLMİLLA Soyut Desenli Vücuda Oturan Mini Örme Büzgülü Transparan Plaj Elbisesi TBESS22EL0702,161,2022-04-23,2025-03-02,1044,144,17
TRENDYOLMİLLA Ekru Çiçek Desenli Belden Açılan V Yaka Mini Astarlı Şifon Dokuma Elbise TWOSS23EL01782,161,2023-03-22,2025-03-08,717,130,31
Trendyol Curve Indigo Kuşaklı Dokuma Elbise TBBSS22EL1670,161,2022-03-16,2025-02-25,1077,137,24
TRENDYOLMİLLA Çok Renkli Yaka Detaylı Dokuma Elbise TWOAW22EL0118,160,2022-03-19,2025-02-22,1071,148,12
Trendyol Curve Siyah Büyük Beden Astarsız Uzun Kollu A-Kesim Mini Dokuma Elbise TBBAW23AH00035,160,2022-11-04,2025-03-05,852,136,24
TRENDYOLMİLLA Bordo Kruvaze Yaka Cut Out/Pencere Detaylı Örme Şık Abiye Elbise TPRAW23EL00272,159,2022-09-21,2025-03-11,902,147,12
TRENDYOLMİLLA Siyah Mini Triko Geniş Kalıp Elbise TWOAW23EL00026,159,2022-09-23,2024-12-10,809,141,18
TRENDYOLMİLLA Mavi Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208,159,2022-09-14,2025-02-28,898,152,7
TRENDYOLMİLLA Çok Renkli Desenli A-Kesim Askılı Midi Astarlı Dokuma Elbise TWOSS23EL00989,158,2023-04-28,2025-03-10,682,122,36
TRENDYOLMİLLA Siyah Düğme Detaylı Kolsuz Dokuma Mini Ceket Elbise TWOSS19AP0280,158,2022-03-21,2025-03-11,1086,127,31
TRENDYOLMİLLA Siyah Vücuda Oturan Kemerli Cep Detaylı Mini Elbise TWOSS23EL02037,158,2023-04-06,2024-11-10,584,134,24
TRENDYOLMİLLA Kırmızı Vücuda Oturan Bisiklet Yaka Mini Fitilli Esnek Örme Kalem Elbise TWOSS22EL2819,157,2023-03-31,2024-07-15,472,136,21
TRENDYOLMİLLA Haki Gömlek Yaka Dokuma Elbise TWOAW21EL1964,156,2022-03-13,2025-02-21,1076,120,36
TRENDYOLMİLLA Plaj Giyim Geometrik Desenli Dokuma %100 Pamuk Balon Kollu Mini Elbise TBESS21EL2771,156,2022-03-17,2024-11-13,972,135,21
TRENDYOLMİLLA Bordo Dik Yaka Dokuma Elbise TCLAW19LJ0076,154,2022-09-23,2025-02-11,872,136,18
TRENDYOLMİLLA Siyah Maxi Triko V Yaka Jile Elbise TWOAW24EL00011,125,2023-11-13,2025-02-28,473,114,11
Trendyol Curve Siyah Finike Dokuma Büyük Beden Elbise,119,2024-02-14,2025-03-09,389,104,15
TRENDYOLMİLLA Siyah Sıfır Kol Drapeli Bodycone/Vücuda Oturan Esnek Örme Maxi Kalem Elbise TWOSS24EL00101,119,2024-01-27,2025-03-10,408,112,7
Trendyol Curve Siyah Çıtır Çiçekli Astarlı Uzun Kol Midi/Orta Boy Şifon Elbise TBBAW24AH00027,119,2023-08-18,2025-03-07,567,101,18
Trendyol Curve Mavi Örme Cut-Out ve Büzgü Detaylı Çiçek Desenli Yazlık Örme Elbise TBBSS22AH0142,118,2022-03-16,2025-03-08,1088,109,9
Trendyol Curve Fuşya V Yaka Volanlı Örme Büyük Beden Elbise TBBSS23AH00030,118,2023-04-02,2025-03-10,708,107,11
TRENDYOLMİLLA Kırmızı A-Kesim Straplez Dokuma Şık Abiye Elbise TPRSS24EL00139,118,2024-05-16,2025-03-10,298,100,18
Trendyol Curve Kahverengi Büzgü Detaylı Midi Örme Elbise TBBSS24AH00080,118,2024-03-14,2025-03-10,361,96,22
TRENDYOLMİLLA Siyah Cepli Premium Bisiklet Yaka A-Line Örme Midi Elbise TWOSS24EL00169,118,2024-03-01,2024-11-23,267,103,15
TRENDYOLMİLLA Siyah Sırt Detaylı Askılı Bürümcük/Dokulu Maxi Örme Elbise TWOSS24EL00259,118,2024-03-20,2024-11-07,232,90,28
TRENDYOLMİLLA Siyah Düz Esnek Örme Elbise TWOSS24EL00412,117,2024-03-05,2024-12-20,290,99,18
TRENDYOLMİLLA X Zeynep Tosun Ekru Volanlı Parlak Taşlı Bridal Elbise TCLSS23EL00014,117,2023-05-24,2025-01-16,603,99,18
Trendyol Curve Koyu Mavi Comfort Denim Büyük Beden Elbise TBBSS24AH00206,117,2024-05-28,2025-03-10,286,105,12
TRENDYOLMİLLA Siyah Sırt Dekolteli Fitted/Vücuda Oturan Maxi Esnek Örme Maxi Kalem Elbise TWOSS24EL00090,117,2024-02-19,2025-03-03,378,108,9
Trendyol Curve Antrasit Belden Açılan/Skater V Yaka Denim Elbise TBBSS23AH00078,117,2023-03-29,2024-12-03,615,99,18
TRENDYOLMİLLA Lacivert A-Kesim Saten Dokuma Şık Abiye & Mezuniyet Elbise TPRAW25EL00040,117,2024-09-24,2025-03-10,167,105,12
TRENDYOLMİLLA Gül Kurusu A-Kesim Astarlı Volanlı Dokuma Şifon Kısa Şık Abiye Elbise TPRSS23EL00096,116,2024-02-29,2025-03-08,373,94,22
TRENDYOLMİLLA Siyah A-Kesim Askı Bağlama Detaylı Dokuma Elbise TPRSS24EL00251,116,2024-07-02,2025-02-11,224,108,8
TRENDYOLMİLLA Siyah A-Kesim Taş Aksesuarlı Dokuma Elbise TPRSS24EL00178,116,2024-07-02,2025-03-07,248,106,10
Trendyol Curve Çok Renkli Çiçek Desenli Dokuma Fırfır Detaylı Elbise TBBSS22EL1600,116,2022-05-12,2024-11-07,910,97,19
TRENDYOLMİLLA Antrasit Mini Triko A-Line Formda Elbise TWOAW25EL00030,116,2024-09-10,2025-03-10,181,95,21
TRENDYOLMİLLA Siyah Belden Açılan Üst Bedeni Gipeli Tek Omuz Midi Dokuma Elbise TWOSS23EL01830,116,2024-03-26,2025-02-21,332,108,8
TRENDYOLMİLLA Saks Vücuda Oturan Dokuma Elbise TPRSS24EL00136,116,2024-05-08,2025-03-04,300,92,24
TRENDYOLMİLLA Kahverengi Çok Renkli Hayvan Desenli Leopar Örme Tül Şık Abiye Elbise TPRSS24EL00202,116,2024-06-04,2025-03-10,279,107,9
TRENDYOLMİLLA Kırmızı Vücuda Oturan Çiçekli Örme Kısa Şık Abiye Elbise TPRSS24EL00112,115,2024-03-15,2025-01-23,314,104,11
TRENDYOLMİLLA Lacivert Desenli Askılı Vücuda Oturan Fitilli Esnek Örme Maxi Kalem Elbise TWOSS24EL00682,115,2024-03-25,2025-02-01,313,97,18
TRENDYOLMİLLA Yeşil Çiçekli Baskılı Parlak Yüzeyli Kayık Kaya Vücuda Oturan Esnek Örme Kalem Elbise TWOSS24EL00528,115,2024-03-22,2025-03-10,353,96,19
TRENDYOLMİLLA Lacivert Maxi Triko Polo Yaka Elbise TWOSS24EL00282,115,2024-04-11,2025-03-08,331,97,18
Trendyol Curve Çok Renkli Çiçek Desenli Şifon Kruvaze Dokuma Elbise TBBSS24AH00154,115,2024-04-18,2025-03-02,318,106,9
TRENDYOLMİLLA Mavi Çiçekli Baskılı Parlak Yüzeyli Kayık Kaya Vücuda Oturan Esnek Örme Kalem Elbise TWOSS24EL00528,114,2024-06-20,2025-03-10,263,105,9
TRENDYOLMİLLA Yeşil Çiçek Desenli A-Kesim Fırfır Detaylı Astarlı Şifon Maxi Dokuma Elbise TWOSS23EL02013,114,2024-02-17,2025-03-05,382,88,26
TRENDYOLMİLLA Çok Renkli Kuşaklı Eteği Volanlı Astarlı Şifon Mini Dokuma Kışlık Elbise TWOAW24EL00665,114,2023-09-30,2025-03-09,526,107,7
TRENDYOLMİLLA Lacivert Polo Yaka Skater/Belden Açılan Pamuklu Esnek Örme Midi Elbise TWOSS24EL00480,114,2024-05-17,2024-12-15,212,95,19
TRENDYOLMİLLA Siyah Piliseli Mini Dokuma Ceket Elbise TWOAW24EL00295,114,2023-09-12,2025-03-04,539,79,35
TRENDYOLMİLLA Siyah A-Kesim Dokuma Kısa Şık Abiye Elbise TPRSS24EL00074,114,2024-03-25,2025-03-06,346,98,16
TRENDYOLMİLLA Antrasit Yıkamalı/Soluk Efektli Shift/Düz Kesim Örme Elbise TWOSS24EL00126,114,2024-04-03,2025-03-04,335,97,17
Trendyol Curve Siyah Fitilli Midi Boy 2'li Triko Elbise&Crop Kazak Takım TBBAW24AH00004,114,2023-09-27,2025-03-07,527,98,16
TRENDYOLMİLLA Çok Renkli Çiçek Desenli A Kesim Astarlı Midi Dokuma Elbise TWOSS20EL0908,114,2023-07-16,2025-03-03,596,99,15
Trendyol Curve Bordo Örme Drape Detaylı Maxi/Uzun Abiye Elbise TBBSS22AD00000,114,2022-07-15,2025-02-08,939,96,18
TRENDYOLMİLLA Mavi Animal Shift Boyundan Bağlamalı Halter Yaka Shally Maxi Dokuma Elbise TWOSS24EL00872,114,2024-04-25,2025-03-11,320,96,18
TRENDYOLMİLLA Limited Edition Siyah Parlak Taşlı Tül Elbise TPRAW24EL00208,114,2023-10-23,2025-03-09,503,95,19
Trendyol Curve Siyah Çizgi Detaylı Triko Elbise TBBAW24AH00019,113,2023-09-01,2025-02-17,535,100,13
TRENDYOLMİLLA Siyah Maxi Dokuma Volanlı Plaj Elbisesi TBESS19WY0004,113,2022-08-02,2024-12-29,880,103,10
TRENDYOLMİLLA Beyaz Belden Açılan Kare Yaka Askılı Volanlı Mini Dokuma Elbise TWOSS23EL00601,113,2023-06-07,2024-08-28,448,92,21
TRENDYOLMİLLA Beyaz Düz Bodycone Krep Mini Dokuma Elbise TWOSS24EL00874,113,2024-04-08,2025-03-08,334,94,19
TRENDYOLMİLLA Ekru Maxi Dokuma Sırt Dekolteli Keten Karışımlı Plaj Elbisesi TBESS24EL00096,113,2024-05-21,2025-03-04,287,101,12
Trendyol Curve Siyah Yırtmaçlı Midi Örme Elbise TBBAW24AH00095,113,2023-09-16,2025-03-10,541,96,17
Trendyol Curve Mavi Belden Açılan/Skater V Yaka Denim Elbise TBBSS23AH00078,113,2023-02-22,2025-03-09,746,100,13
TRENDYOLMİLLA Tarçın Düğme Detaylı Gabardin Mini Dokuma Gömlek Elbise TWOSS22EL2970,113,2023-04-02,2025-03-07,705,76,37
TRENDYOLMİLLA Çok Renkli Astarlı A-Kesim Çiçek Desenli Örme Tül Kısa Şık Abiye Elbise TPRSS23EL00144,113,2023-03-15,2025-03-08,724,103,10
TRENDYOLMİLLA Siyah Jile Skater/Belden Açılan Örme Elbise TWOAW24EL00245,113,2023-08-26,2025-03-03,555,100,13
TRENDYOLMİLLA Haki Vücuda Oturan Mini Triko Sırt Dekolteli Plaj Elbisesi TBESS23EL00240,112,2023-04-04,2025-03-10,706,93,19
TRENDYOLMİLLA Siyah Kemerli Kruvaze Yaka Dokuma Elbise TWOAW20EL0909,112,2022-03-12,2024-12-28,1022,95,17
TRENDYOLMİLLA Indigo Belden Açılan Midi Korse Dikiş Detaylı Dokuma Elbise TWOSS24EL00038,112,2024-05-17,2025-03-11,298,82,30
TRENDYOLMİLLA Plaj Giyim Soyut Desenli Mini Dokuma Cut Out/Pencere %100 Pamuklu Elbise TBESS23EL00175,112,2023-03-15,2025-03-11,727,97,15
TRENDYOLMİLLA Bordo Tek Kol Vücuda Oturan Aksesuar Detaylı Tül Esnek Örme Midi Kalem Elbise TWOSS24EL00174,112,2024-04-26,2024-10-15,172,107,5
TRENDYOLMİLLA Bridal Ekru A-Kesim Astarlı Korse Detaylı Biyeli Dokuma Kısa Abiye Gece Elbise TPRSS23EL00251,112,2023-04-15,2025-03-05,690,80,32
Trendyol Curve Fuşya Büyük Beden Astarsız Truvakar Kol Mini/Kısa Boy Dokuma Ceket Elbise TBBAW23AH00042,111,2023-04-15,2025-03-06,691,95,16
TRENDYOLMİLLA Pembe A-Kesim Fiyonk Detaylı Dokuma Şık Abiye Elbise TPRSS24EL00105,111,2024-02-06,2024-12-30,328,91,20
TRENDYOLMİLLA Kiremit Vücuda Oturan Midi Triko Hırka Elbise Takım TWOSS21EL0208,111,2023-08-19,2025-02-18,549,96,15
TRENDYOLMİLLA Turuncu Çiçek Desenli Düz Kesim Halter Yaka Midi Saten Astarlı Dokuma Elbise TWOSS23EL02417,111,2023-05-27,2024-07-26,426,95,16
TRENDYOLMİLLA Altın Vücuda Oturan Parıltılı Örme Pullu Payet Kısa Şık Abiye Elbise TPRAW24EL00159,111,2023-09-30,2025-02-18,507,85,26
TRENDYOLMİLLA Siyah A-Kesim Astarlı Dokuma Şifon Şık Mini Abiye Elbise TPRSS23EL00131,111,2022-12-19,2025-02-16,790,96,15
TRENDYOLMİLLA Siyah V Yaka Düğme Detaylı Dokuma Midi Gömlek Elbise TWOSS23EL02158,111,2023-04-07,2025-03-04,697,100,11
TRENDYOLMİLLA Çok Renkli Soyut Desenli Örme Şık Abiye Elbise TPRSS24EL00150,111,2024-03-18,2025-01-31,319,99,12
TRENDYOLMİLLA Mavi Şal Desenli A-line Bağlama Detaylı Midi Dokuma Elbise TWOSS24EL00458,111,2024-03-06,2025-03-09,368,96,15
TRENDYOLMİLLA Saks Vücuda Oturan Pencere/Cut Out Detaylı Örme Kısa Şık Abiye Elbise TPRAW24EL00063,110,2023-09-07,2025-02-06,518,97,13
TRENDYOLMİLLA Siyah A Kesim Mini Tüvit Dokuma Elbise TWOAW23EL00258,110,2022-10-03,2025-01-20,840,84,26
TRENDYOLMİLLA Plaj Giyim Etnik Desenli Mini Dokuma Cut Out/Pencere %100 Pamuklu Elbise TBESS23EL00140,110,2023-03-28,2024-09-20,542,63,47
Trendyol Curve Siyah Kare Yaka Vücuda Oturan Triko Elbise TBBAW24AH00005,110,2023-07-14,2025-03-07,602,98,12
Trendyol Curve Siyah Yumoş Hırka-Elbise Örme 2'li Takım Büyük Beden Elbise TBBAW23AH00004,110,2022-10-07,2025-03-03,878,93,17
Trendyol Curve Siyah V-Yaka Büyük Beden Tüvit Jile Mini/Kısa Boy Dokuma Elbise TBBAW23AH00193,110,2022-11-09,2025-01-13,796,86,24
TRENDYOLMİLLA Siyah Baskılı Ayarlanabilir Askılı A-Line Bürümcük/Dokulu Örme Maxi Elbise TWOSS24EL00060,110,2024-03-03,2025-03-09,371,93,17
TRENDYOLMİLLA Siyah Fitted Vücuda Oturan Kayık Yaka Sıfır Kol Esnek Örme Örme Midi Kalem Elbise TWOSS24EL00662,109,2024-03-31,2025-02-12,318,97,12
Trendyol Curve Siyah Dokuma Carmen Yaka Bel Detaylı Elbise TBBSS23AH00090,109,2023-03-08,2025-03-10,733,96,13
TRENDYOLMİLLA Lacivert Kuşaklı A-Kesim Astarlı Piliseli Örme Kısa Şık Abiye Elbise TPRAW24EL00108,108,2023-08-30,2025-02-19,539,87,21
Trendyol Curve Siyah Kemerli Dokuma Kruvaze Yaka Elbise TBBSS23AH00206,108,2023-04-03,2025-03-05,702,92,16
TRENDYOLMİLLA Çok Renkli Çiçekli Dik Yaka Vatkalı Bodycone/Vücuda Oturan Örme Maxi Kalem Elbise TWOSS24EL00841,108,2024-03-13,2024-12-26,288,94,14
TRENDYOLMİLLA Kahverengi Leopar Desenli Düz Kesim Mini Saten Dokuma Elbise TWOSS24EL01065,108,2024-06-22,2025-03-10,261,86,22
TRENDYOLMİLLA Ekru Çiçek Desenli A Kesim Kat Kat Mini Astarlı Şifon Dokuma Elbise TWOSS23EL02056,108,2024-04-15,2025-03-06,325,92,16
TRENDYOLMİLLA Zümrüt A Kesim Yeşili Eteği Volanlı Saten Dokuma Elbise TWOAW21EL1891,108,2023-09-28,2025-02-27,518,95,13
TRENDYOLMİLLA Siyah Cep Görünümlü Belden Açılan/Skater Mini Smart Krep Örme Elbise TWOSS23EL01802,107,2023-03-24,2024-06-10,444,84,23
TRENDYOLMİLLA Bridal Ekru Yaka Detaylı Dokuma Abiye Gece Elbise TPRSS22EL3197,107,2022-04-29,2024-12-12,958,91,16
TRENDYOLMİLLA Koyu Mavi Volanlı Oversize Mini Denim Elbise TWOSS23EL01942,106,2023-05-24,2024-08-17,451,95,11
TRENDYOLMİLLA Lacivert Mini Düğmeli Viskon Dokuma Elbise TWOAW23EL01310,106,2022-08-20,2025-03-02,925,82,24
Trendyol Curve Siyah Kemer Detaylı Örme Şık Abiye Elbise TBBAW24EL00001,106,2023-08-19,2025-03-04,563,86,20
TRENDYOLMİLLA Ekru Brode Midi Dokuma Gömlek Elbise TWOSS23EL01024,105,2023-03-06,2024-12-18,653,85,20
TRENDYOLMİLLA Lacivert Tek Omuzlu Drapeli Fitted/Vücuda Oturan Maxi Esnek Örme Midi Kalem Elbise TWOSS24EL00100,105,2024-03-05,2024-11-27,267,93,12
TRENDYOLMİLLA Ekru Tüvit Dokuma Elbise TWOAW23EL00701,105,2022-11-12,2025-03-10,849,78,27
TRENDYOLMİLLA Kahverengi Midi Dokuma Sırt Dekolteli Plaj Elbisesi TBESS22EL0727,104,2022-04-29,2025-02-06,1014,93,11
TRENDYOLMİLLA Beyaz Dokuma %100 Pamuk Şerit Aksesuarlı Mini Plaj Elbisesi TBESS21EL1253,103,2022-03-31,2025-03-08,1073,85,18
TRENDYOLMİLLA Siyah Vücuda Oturan Gipeli Mini Dokuma Elbise TWOSS23EL00892,102,2023-03-14,2024-07-24,498,81,21
TRENDYOLMİLLA Çok Renkli Cut Out Detaylı Baskılı Esnek Midi Örme Elbise TWOSS23EL01809,99,2023-06-12,2024-12-04,541,96,3
TRENDYOLMİLLA Siyah Parlak Taşlı Dokuma Kısa Şık Abiye Elbise TPRSS23EL00091,99,2023-05-01,2024-09-21,509,78,21
TRENDYOLMİLLA Beyaz Belden Açılan Midi Astarlı Brode Dokuma Elbise TWOSS23EL00156,98,2023-04-15,2024-11-18,583,79,19
TRENDYOLMİLLA Siyah Düz Dokulu Fitted/Vücuda Oturan Maxi Örme Elbise TWOAW25EL00097,90,2024-09-19,2025-02-17,151,83,7
Edit by Trendyol Siyah Vücuda Oturan Asimetrik Yaka Örme Kısa Elbise TEDAW25EL00006,90,2024-08-08,2025-03-09,213,62,28
TRENDYOLMİLLA Antrasit Skater/Eteği Belden Açılan Bisiklet Yaka Mini Poliviskon Dokuma Elbise TWOAW25EL00244,89,2024-08-27,2025-03-08,193,79,10
Trendyol Curve Siyah V Yaka Balon Kol Mini/Kısa Boy Dokuma Elbise TBBAW24AH00038,89,2023-08-13,2025-02-26,563,78,11
TRENDYOLMİLLA Kırmızı Vücuda Oturan Dokuma Elbise TPRSS24EL00136,89,2024-06-05,2025-02-19,259,79,10
TRENDYOLMİLLA Bridal Beyaz A-Kesim Straplez Dokuma Düğün/Nikah Abiye Elbise TPRSS24EL00139,89,2024-03-14,2025-03-10,361,69,20
Trendyol Curve Siyah Taş İşlemeli Uzun Kol Yırtmaçlı Dokuma Abiye/Mezuniyet/Nişan/Gece Elbisesi TBBAW24AD00001,89,2023-10-18,2025-03-05,504,72,17
TRENDYOLMİLLA Siyah Düz Midi Vatkalı Drapeli Bodycone/Vücuda Oturan Esnek Elbise Örme Elbise TWOSS24EL00975,89,2024-07-06,2025-03-07,244,84,5
TRENDYOLMİLLA Kahverengi Eteği Belden Açılan Mini Dokuma Gömlek Elbise TWOAW25EL00154,89,2024-10-12,2025-03-09,148,60,29
